Code,Semester,Average
CSCA48,Winter 2023,B-
MATA22,Winter 2023,C+
MATA31,Fall 2022,C
CSCA08,Fall 2022,B-
MATA37,Winter 2023,C-
CSCA67,Winter 2023,C+
BIOA01,Fall 2021,B-
CHMA10,Fall 2021,B
MATA29,Fall 2021,B
PHYA11,Fall 2021,B-
PSYA01,Fall 2021,C+
BIOA02,Winter 2022,B-
CHMA11,Winter 2022,B-
CLAA06,Winter 2022,A-
LINB18,Winter 2022,B
PSYA02,Winter 2022,B-
BIOB10,Fall 2022,B
BIOB34,Fall 2022,A-
BIOB50,Fall 2022,B
PSYB07,Fall 2022,C+
PSYB10,Fall 2022,C+
ANTA02,Winter 2023,TBA
BIOB11,Winter 2023,TBA
BIOB38,Winter 2023,TBA
BIOB51,Winter 2023,TBA
PSYB51,Winter 2023,C
MATAB24,Winter 2024,C+
STAC58,Winter 2023,D+
CSCC11,Winter 2023,C+
HLTB16,Fall 2022,C+
HLTB11,Fall 2022,C+
HLTB22,Winter 2023,C+
HLTB44,Winter 2023,C+
STAB27,Winter 2023,C+
HLTC27,Winter 2023,B-
ESTB03,Fall 2022,B+
STAB22,Winter 2022,C+
HLTA03,Winter 2022,B-
PHLA11,Winter 2020,B
MATA30,Fall 2020,C
MGAB01,Fall 2020,B-
POLA01,Fall 2018,C+
MGEA02,Fall 2020,C+
MGMA01,Fall 2020,B
GGRA03,Fall 2018,C+
MGTA05,Fall 2020,B-
SOCA03,Winter 2019,C+
MATA22,Winter 2021,C
MATA36,Winter 2021,B-
EESA10,Winter 2019,C+
MGAB02,Winter 2021,B-
MGEA06,Winter 2021,C+
GASA01,Winter 2019,B-
MGTA36,Winter 2021,B-
MATB41,Summer 2021,C+
POLA02,Winter 2019,C+
MGEB02,Summer 2021,C+
VPMA93,Fall 2019,B
MGMB01,Summer 2021,B
MATB24,Fall 2021,B-
MATB44,Fall 2021,B-
MGHB02,Fall 2021,B
GGRA30,Winter 2020,B
PSYA01,Fall 2021,C+
STAB52,Fall 2021,C+
IDSA01,Summer 2020,B
ANTA01,Winter 2022,B-
CSCA08,Winter 2022,C
MGAB03,Winter 2022,B-
MGFB10,Winter 2022,B-
POLB50,Summer 2020,C+
MGEC71,Summer 2022,C+
LINA01,Fall 2022,C+
MGSC03,Winter 2023,B+
MGSC14,Fall 2022,B+
CSCA48,Winter 2023,B-
MGEB11,Winter 2023,C+
MGEC02,Winter 2023,C
GGRB21,Fall 2022,B-
MGEC08,Winter 2023,B-
MGFC10,Winter 2023,C+
CSCA67,Fall 2022,C+
MATA36,Winter 2023,D
CSCA20,Fall 2022,B
CITA01H3,Fall 2020,B-
HLTA02H3,Fall 2020,B-
MGEA01H3,Fall 2020,C+
MGTA01H3,Fall 2020,B-
PSYA01H3,Fall 2020,B-
CLAA06,Winter 2021,C+
CSC108,Fall 2019,C
GGR111,Fall 2019,B-
MAT102,Fall 2019,C+
MAT135,Fall 2019,C+
RLG101,Fall 2019,B-
CSC148,Winter 2020,C
LIN101,Winter 2020,B
